Date,Close/Last,Open,High,Low
07/29/2021,2339.63,2336.71,2345.79,2336.61
07/28/2021,2331.22,2332.93,2338.41,2323.74
07/27/2021,2329.62,2335.98,2336.04,2313.27
07/26/2021,2341.40,2334.33,2341.64,2333.36
07/23/2021,2337.29,2323.96,2338.91,2321.79
07/22/2021,2313.35,2310.13,2314.55,2303.92
07/21/2021,2307.46,2294.82,2307.93,2294.61
07/20/2021,2288.94,2260.27,2296.30,2256.40
07/19/2021,2254.13,2261.19,2262.53,2240.28
07/16/2021,2287.58,2311.39,2312.29,2285.06
07/15/2021,2303.86,2306.40,2309.59,2293.24
07/14/2021,2311.20,2320.80,2323.49,2305.57
07/13/2021,2310.77,2316.81,2323.92,2309.67
07/12/2021,2319.39,2313.51,2320.33,2310.81
07/09/2021,2312.59,2294.92,2313.51,2294.87
07/08/2021,2287.02,2276.30,2291.59,2269.35
07/07/2021,2306.48,2306.95,2308.78,2292.25
07/06/2021,2300.75,2304.75,2305.33,2284.65
07/02/2021,2302.99,2292.42,2304.49,2291.20
07/01/2021,2285.88,2278.16,2286.29,2277.06
06/30/2021,2275.85,2272.87,2278.33,2272.26
06/29/2021,2274.47,2275.83,2278.34,2271.83
06/28/2021,2272.89,2269.59,2273.50,2264.42
06/25/2021,2265.42,2264.07,2267.92,2260.70
06/24/2021,2258.27,2256.39,2261.72,2255.90
06/23/2021,2244.90,2247.44,2251.96,2244.70
06/22/2021,2245.76,2232.86,2250.46,2229.55
06/21/2021,2231.94,2210.09,2232.57,2206.16
06/18/2021,2203.12,2216.16,2216.78,2202.07
06/17/2021,2230.25,2224.80,2235.39,2215.90
06/16/2021,2226.87,2239.90,2240.79,2214.60
06/15/2021,2237.99,2244.85,2244.90,2234.21
06/14/2021,2244.58,2238.53,2244.77,2233.85
06/11/2021,2239.08,2236.31,2239.19,2230.56
06/10/2021,2233.47,2227.92,2237.92,2222.49
06/09/2021,2221.62,2230.05,2231.08,2221.24
06/08/2021,2225.86,2231.29,2231.31,2215.76
06/07/2021,2225.87,2225.72,2226.63,2220.07
06/04/2021,2225.28,2214.80,2227.10,2214.80
06/03/2021,2204.72,2203.71,2211.91,2192.60
06/02/2021,2214.79,2213.56,2219.18,2209.62
06/01/2021,2211.37,2227.03,2228.63,2209.54
05/28/2021,2213.87,2219.90,2221.96,2213.70
05/27/2021,2211.93,2213.24,2217.60,2209.82
05/26/2021,2209.40,2208.34,2212.63,2203.24
05/25/2021,2204.57,2214.51,2217.46,2201.64
05/24/2021,2208.48,2197.17,2214.87,2197.11
05/21/2021,2185.98,2197.95,2203.63,2184.40
05/20/2021,2188.05,2167.87,2194.82,2167.87
05/19/2021,2162.87,2142.55,2163.58,2134.71
05/18/2021,2169.04,2188.77,2190.05,2168.19
05/17/2021,2185.70,2186.90,2190.73,2174.15
05/14/2021,2185.70,2174.22,2197.06,2174.22
05/13/2021,2158.07,2144.19,2168.24,2144.00
05/12/2021,2134.40,2166.37,2172.47,2131.21
05/11/2021,2182.28,2178.31,2186.31,2159.46
05/10/2021,2198.08,2223.45,2223.65,2197.95
05/07/2021,2224.07,2212.05,2228.29,2209.70
05/06/2021,2207.36,2192.89,2207.87,2179.62
05/05/2021,2193.36,2204.52,2205.51,2190.60
05/04/2021,2194.35,2200.22,2202.72,2175.01
05/03/2021,2212.08,2219.40,2222.40,2209.84
04/30/2021,2208.51,2212.56,2217.77,2205.22
04/29/2021,2224.53,2230.22,2231.50,2206.36
04/28/2021,2213.48,2216.46,2222.46,2212.38
04/27/2021,2217.21,2220.01,2220.58,2211.60
04/26/2021,2217.62,2216.06,2220.89,2213.70
04/23/2021,2212.07,2190.91,2219.05,2190.89
04/22/2021,2187.40,2204.92,2211.95,2181.40
04/21/2021,2206.45,2183.19,2207.09,2180.77
04/20/2021,2186.02,2197.67,2199.89,2177.21
04/19/2021,2201.72,2209.73,2211.95,2194.82
04/16/2021,2215.39,2215.41,2218.17,2207.49
04/15/2021,2209.08,2196.91,2210.24,2196.61
04/14/2021,2183.82,2196.09,2200.11,2181.92
04/13/2021,2194.60,2184.80,2197.78,2184.61
04/12/2021,2183.92,2179.81,2185.91,2175.97
04/09/2021,2183.82,2166.11,2184.08,2166.11
04/08/2021,2167.71,2163.91,2168.03,2159.37
04/07/2021,2155.98,2152.22,2158.48,2150.12
04/06/2021,2153.45,2149.75,2160.70,2149.50
04/05/2021,2153.74,2139.48,2155.77,2139.48
04/01/2021,2125.32,2115.22,2125.70,2114.36
03/31/2021,2100.00,2094.86,2111.15,2094.86
03/30/2021,2088.70,2088.66,2093.43,2079.94
03/29/2021,2094.86,2091.87,2100.17,2080.76
03/26/2021,2099.09,2069.99,2100.89,2067.97
03/25/2021,2064.69,2045.67,2069.72,2035.13
03/24/2021,2055.10,2077.09,2085.16,2055.01
03/23/2021,2070.78,2085.30,2091.63,2066.23
03/22/2021,2087.11,2073.01,2095.12,2072.80
03/19/2021,2070.72,2068.83,2079.41,2056.24
03/18/2021,2070.87,2090.77,2100.20,2068.46
03/17/2021,2105.07,2091.01,2110.69,2084.09
03/16/2021,2099.42,2107.16,2110.54,2093.77
03/15/2021,2103.08,2090.13,2103.69,2078.72
03/12/2021,2089.05,2076.58,2089.84,2072.19
03/11/2021,2087.18,2078.94,2097.53,2076.69
03/10/2021,2062.98,2065.56,2072.73,2057.27
03/09/2021,2051.58,2043.68,2066.21,2040.20
03/08/2021,2017.90,2034.92,2050.70,2016.83
03/05/2021,2032.04,2013.40,2036.85,1970.27
03/04/2021,1995.66,2023.93,2036.53,1971.58
03/03/2021,2025.89,2053.69,2058.50,2025.52
03/02/2021,2057.15,2078.27,2079.41,2056.28
03/01/2021,2076.01,2052.66,2082.24,2052.65
02/26/2021,2026.82,2043.32,2052.79,2014.42
02/25/2021,2034.56,2080.20,2087.60,2026.43
02/24/2021,2086.71,2060.22,2088.29,2052.31
02/23/2021,2066.08,2048.65,2073.74,2023.23
02/22/2021,2065.28,2071.38,2080.31,2064.90
02/19/2021,2086.43,2096.45,2099.30,2084.57
02/18/2021,2090.35,2083.83,2094.66,2073.95
02/17/2021,2099.04,2087.95,2100.20,2082.83
02/16/2021,2101.23,2110.45,2111.84,2095.76
02/12/2021,2104.18,2088.60,2105.36,2088.35
02/11/2021,2094.02,2095.87,2098.96,2080.62
02/10/2021,2089.87,2099.55,2101.75,2076.19
02/09/2021,2090.53,2088.22,2094.15,2085.23
02/08/2021,2091.92,2085.09,2092.00,2080.83
02/05/2021,2076.71,2076.75,2080.23,2069.72
02/04/2021,2068.03,2050.62,2068.16,2049.61
02/03/2021,2044.28,2050.26,2052.97,2037.95
02/02/2021,2045.36,2032.97,2053.37,2032.46
02/01/2021,2015.13,2000.87,2020.26,1988.87
01/29/2021,1983.22,2010.29,2015.54,1972.23
01/28/2021,2021.19,2010.65,2044.02,2010.07
01/27/2021,2000.06,2034.90,2035.38,1990.78
01/26/2021,2053.15,2064.53,2066.29,2052.37
01/25/2021,2058.53,2058.23,2061.16,2026.75
01/22/2021,2050.77,2047.02,2056.34,2044.69
01/21/2021,2056.34,2058.85,2060.66,2051.64
01/20/2021,2055.45,2040.75,2059.54,2039.07
01/19/2021,2027.52,2027.65,2029.94,2018.17
01/15/2021,2011.75,2019.25,2022.98,2002.01
01/14/2021,2026.11,2039.85,2042.02,2024.73
01/13/2021,2034.49,2029.90,2040.61,2024.80
01/12/2021,2029.82,2030.02,2034.10,2016.33
01/11/2021,2027.68,2022.88,2037.66,2021.59
01/08/2021,2040.52,2037.65,2041.44,2018.58
01/07/2021,2028.99,2011.52,2032.86,2011.37
